,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,0,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,10/22/2023 4:05:50 PM -04:00,3,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,False,True,False,,,,,
2,2,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/8/2023 3:59:31 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
4,4,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/8/2023 6:09:32 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
6,6,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/10/2023 12:59:56 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
8,8,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/10/2023 3:24:58 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
10,10,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/10/2023 3:34:58 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
12,12,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/10/2023 3:49:58 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
14,14,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/10/2023 4:49:58 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
16,16,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/10/2023 5:24:59 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
18,18,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/10/2023 7:40:00 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
20,20,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/11/2023 1:40:10 AM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
22,22,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/12/2023 11:00:35 PM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
24,24,1399J59406,,,SYS_ALM,SystemAlertAlarm,,,America/New_York,Chiller Alarm,11/12/2023 11:20:35 PM -05:00,2,,,,,,1.0,AlertAlarm/1399J59406/2023,Device,True,False,False,,,,,
