,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,2,Device,,,7/28/2023 4:00:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
1,1,Device,,,7/28/2023 9:45:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
2,2,Device,,,8/23/2023 10:30:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
3,1,Device,,,8/23/2023 11:00:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
4,2,Device,,,8/23/2023 11:30:00 AM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
5,1,Device,,,8/23/2023 11:45:00 AM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
6,2,Device,,,8/23/2023 2:45:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
7,1,Device,,,8/23/2023 3:30:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
8,2,Device,,,8/23/2023 3:45:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
9,1,Device,,,8/23/2023 4:00:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
10,2,Device,,,8/23/2023 4:30:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
11,1,Device,,,8/23/2023 4:45:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
12,2,Device,,,8/23/2023 5:00:00 PM -05:00,False,True,False,1,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
13,1,Device,,,8/23/2023 5:15:00 PM -05:00,False,False,True,2,,,,,,MAINSTAT_SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/1913Q22565/2023,1913Q22565,,America/Chicago
