,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,4504Q70011,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,12/13/2022 3:13:35 PM +03:00,3,,,,,,,AlertAlarm/4504Q70011/2022,Device,False,True,False,,,,,
0,4504Q70011,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr  9 2023  4:57PM,3,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,False,True,,2023-04-09T16:57:00,,,0.0
1,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 19 2023  7:08AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,True,,2023-04-19T07:08:00,,,0.0
2,4504Q70011,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,4/20/2023 7:23:24 AM +03:00,3,,,,,,1.0,AlertAlarm/4504Q70011/2023,Device,False,True,False,,,,,
3,4504Q70011,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,Apr 23 2023  4:51PM,3,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,False,True,,2023-04-23T16:51:00,,,0.0
4,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 23 2023  4:51PM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-04-23T16:51:00,,,0.0
5,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 30 2023  4:41AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,True,,2023-04-30T04:41:00,,,0.0
6,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 13 2023  9:33AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-05-13T09:33:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/5/13/9/34/VU050685661110_5_1683970436,0.0
7,4504Q70011,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,,5/13/2023 12:36:39 PM +03:00,3,,,,,,1.0,AlertAlarm/4504Q70011/2023,Device,False,True,False,,,,,
8,4504Q70011,,,SYS_ALM,SystemAlertAlarm,,,Asia/Kuwait,System Alert Alarm,May 13 2023  9:41AM,3,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,False,True,,2023-05-13T09:41:00,,,0.0
9,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 13 2023  9:41AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,True,,2023-05-13T09:41:00,,,0.0
10,4504Q70011,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 29 2023  4:36AM,237,,,,,,,AlertAlarm/4504Q70011/2023,Device,False,True,False,,2023-05-29T04:36:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_5/2023/5/29/4/36/VU050685661110_5_1685334965,0.0
