,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm
0,0,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/1/2022 12:15:00 AM -05:00,165.8,0.0,100.0,165.0,0.0,170.0,139.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
2,2,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/1/2022 1:15:00 AM -05:00,165.8,0.0,100.0,165.0,0.0,170.0,137.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
4,4,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/1/2022 2:15:00 AM -05:00,165.8,0.0,100.0,165.0,0.0,170.0,137.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
6,6,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/2/2022 9:00:00 AM -05:00,165.8,0.0,100.0,165.0,0.0,170.0,137.3,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
8,8,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/2/2022 12:00:00 PM -05:00,165.7,0.0,100.0,165.0,0.0,170.0,137.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
10,10,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/2/2022 1:00:00 PM -05:00,165.6,0.0,100.0,165.0,0.0,170.0,137.5,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
12,12,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/2/2022 2:00:00 PM -05:00,166.6,0.0,100.0,165.0,0.0,170.0,137.6,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
14,14,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/3/2022 12:15:00 AM -05:00,166.2,0.0,100.0,165.0,0.0,170.0,137.7,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
16,16,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/3/2022 8:30:00 AM -05:00,166.0,0.0,100.0,165.0,0.0,170.0,137.6,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
18,18,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/3/2022 4:45:00 PM -05:00,165.6,0.0,100.0,165.0,0.0,170.0,137.8,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
20,20,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/3/2022 10:00:00 PM -05:00,166.2,0.0,100.0,165.0,0.0,170.0,138.0,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
22,22,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/4/2022 1:15:00 AM -05:00,167.1,0.0,100.0,165.0,0.0,170.0,138.3,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
24,24,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/4/2022 6:45:00 AM -05:00,166.9,0.0,100.0,165.0,0.0,170.0,138.3,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
26,26,4710Q20220,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,1/5/2022 5:30:00 AM -05:00,167.1,0.0,100.0,165.0,0.0,170.0,138.9,AlertAlarm/4710Q20220/2022,Threshold,True,False,False,
