,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,0,4710Q20221,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,6/2/2022 9:45:00 AM -04:00,91.6,0.0,100.0,165.0,0.0,170.0,140.0,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
1,1,4710Q20221,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,6/2/2022 10:00:00 AM -04:00,94.1,0.0,100.0,165.0,0.0,170.0,140.0,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
2,2,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/24/2022 9:00:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20221/2022,Device,False,True,False,,,,,
3,3,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,6/24/2022 9:15:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20221/2022,Device,True,False,False,,,,,
4,4,4710Q20221,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,7/20/2022 11:00:00 AM -04:00,95.8,0.0,96.0,102.0,95.0,106.0,96.1,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
6,6,4710Q20221,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,7/21/2022 11:30:00 AM -04:00,95.8,0.0,96.0,102.0,95.0,106.0,96.1,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
8,8,4710Q20221,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,8/5/2022 10:45:00 AM -04:00,95.8,0.0,96.0,102.0,95.0,106.0,96.2,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
10,10,4710Q20221,,,HEAT_EX_CRP,condenserPressure,,,America/New_York,Chiller Alarm,8/7/2022 5:15:00 AM -04:00,127.9,0.0,0.0,125.0,0.0,0.0,90.7,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
11,11,4710Q20221,,,COMPRESS_MTRB,compThrustBrgTemp,,,America/New_York,Chiller Alarm,8/7/2022 5:15:00 AM -04:00,155.1,0.0,0.0,155.0,0.0,0.0,150.5,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
12,12,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,8/7/2022 5:15:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20221/2022,Device,False,True,False,,,,,
15,15,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,8/7/2022 5:30:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20221/2022,Device,True,False,False,,,,,
16,16,4710Q20221,,,POWER_LNVOLT_P,percentLineVoltage,,,America/New_York,Chiller Alarm,8/23/2022 8:15:00 PM -04:00,94.7,0.0,96.0,102.0,95.0,106.0,97.3,AlertAlarm/4710Q20221/2022,Threshold,True,True,False,,,,,
18,18,4710Q20221,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,9/5/2022 3:30:00 PM -04:00,96.0,0.0,100.0,165.0,0.0,170.0,136.3,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
19,19,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,9/5/2022 3:30:00 PM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20221/2022,Device,False,True,False,,,,,
21,21,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,9/5/2022 4:00:00 PM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20221/2022,Device,True,False,False,,,,,
22,22,4710Q20221,,,HEAT_EX_CRP,condenserPressure,,,America/New_York,Chiller Alarm,9/6/2022 8:45:00 AM -04:00,127.5,0.0,0.0,125.0,0.0,0.0,108.9,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
23,23,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,9/6/2022 8:45:00 AM -04:00,2.0,,,,,,1.0,AlertAlarm/4710Q20221/2022,Device,False,True,False,,,,,
24,24,4710Q20221,,,COMPRESS_MTRB,compThrustBrgTemp,,,America/New_York,Chiller Alarm,9/6/2022 9:00:00 AM -04:00,158.2,0.0,0.0,155.0,0.0,0.0,152.6,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
25,25,4710Q20221,,,COMPRESS_CMPD,compDischargeTemp,,,America/New_York,Chiller Alarm,9/6/2022 9:00:00 AM -04:00,160.4,0.0,0.0,150.0,0.0,0.0,132.0,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
27,27,4710Q20221,,,HEAT_EX_CRP,condenserPressure,,,America/New_York,Chiller Alarm,9/6/2022 9:15:00 AM -04:00,131.3,0.0,0.0,125.0,0.0,0.0,123.8,AlertAlarm/4710Q20221/2022,Threshold,True,False,False,,,,,
28,28,4710Q20221,,,STARTUP_OILT,oilSumpTemp,,,America/New_York,Chiller Alarm,9/6/2022 9:15:00 AM -04:00,170.6,0.0,100.0,165.0,0.0,170.0,155.9,AlertAlarm/4710Q20221/2022,Threshold,True,True,False,,,,,
33,33,4710Q20221,,,MAINSTAT_SYS_ALM,alarm,,,America/New_York,Chiller Alarm,9/6/2022 9:30:00 AM -04:00,1.0,,,,,,2.0,AlertAlarm/4710Q20221/2022,Device,True,False,False,,,,,
