,serialnumber,metrickey,metricshortname,timezone,eventdatetime,AlertAlarmDateTime,alertalarmtype,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,description,isalert,isalarm,isreset,algorithm,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes,metrictype,metricid,metricName,metricNameChinese
0,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Feb 28 2023  2:38PM,2023-02-28T14:38:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
1,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,7/11/2023 2:47:37 PM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
2,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Jul 11 2023 11:10AM,2023-07-11T11:10:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
3,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,7/15/2023 6:01:01 PM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
4,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Jul 15 2023  4:47PM,2023-07-15T16:47:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
5,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,7/17/2023 9:05:53 PM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
6,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Jul 17 2023  5:25PM,2023-07-17T17:25:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
7,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,7/17/2023 10:05:33 PM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
8,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Jul 17 2023  6:09PM,2023-07-17T18:09:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
9,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,7/19/2023 12:27:38 PM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
10,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Jul 19 2023  9:13AM,2023-07-19T09:13:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
11,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug  4 2023  8:53AM,2023-08-04T08:53:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,False,,,,0.0,,,,
12,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,8/4/2023 12:58:26 PM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
13,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Aug  4 2023  9:08AM,2023-08-04T09:08:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
14,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug  4 2023  9:08AM,2023-08-04T09:08:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,True,,,,0.0,,,,
15,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,8/5/2023 1:23:36 AM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
16,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Aug  4 2023 11:35PM,2023-08-04T23:35:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
17,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug  9 2023 11:54PM,2023-08-09T23:54:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,False,,,,0.0,,,,
18,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,8/10/2023 3:55:21 AM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
19,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Aug 10 2023  2:40AM,2023-08-10T02:40:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
20,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug 10 2023  2:40AM,2023-08-10T02:40:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,True,,,,0.0,,,,
21,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,8/15/2023 2:29:07 AM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
22,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Aug 15 2023  2:49AM,2023-08-15T02:49:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
23,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug 24 2023 11:20PM,2023-08-24T23:20:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,False,,,,0.0,,,,
24,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,8/25/2023 3:24:47 AM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
25,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Aug 25 2023 12:28AM,2023-08-25T00:28:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
26,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug 25 2023 12:28AM,2023-08-25T00:28:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,True,,,,0.0,,,,
27,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,8/25/2023 6:14:49 AM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
28,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Aug 25 2023  2:15AM,2023-08-25T02:15:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
29,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug 25 2023  2:15AM,2023-08-25T02:15:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,False,,,,0.0,,,,
30,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Aug 25 2023  3:24AM,2023-08-25T03:24:00,Device,238,,,,,,,AlertAlarm/4801Q66366/2023,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,False,True,True,,,,0.0,,,,
31,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,8/25/2023 5:24:59 PM +04:00,,Device,3,,,,,,1.0,AlertAlarm/4801Q66366/2023,,False,True,False,,,,,,,,
32,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Aug 25 2023  2:29PM,2023-08-25T14:29:00,Device,3,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
33,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,9/12/2023 4:28:41 PM +04:00,,Device,2,,,,,,1.0,AlertAlarm/4801Q66366/2023,,True,False,False,,,,,,,,
34,4801Q66366,SYS_ALM,SystemAlertAlarm,Asia/Dubai,Sep 12 2023 12:48PM,2023-09-12T12:48:00,Device,2,,,,,,,AlertAlarm/4801Q66366/2023,System Alert Alarm,False,False,True,,,,0.0,,,,
35,4801Q66366,ALARM_01,CH_ALARM_01,Asia/Dubai,Sep 12 2023 12:25PM,2023-09-12T12:25:00,Device,107,,,,,,,AlertAlarm/4801Q66366/2023,PRESTART ALERT-LOW LINE VOLTAGE,True,False,False,,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328021080020_13/2023/9/12/13/51/328021080020_13_1694521510,0.0,,,,
