,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
0,2023-01-02T18:28:00,,,0.0,1,Device,,Alarm Relay,Jan  2 2023  6:28PM,False,False,True,,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
1,2023-01-02T18:28:00,,,0.0,3,Device,,System Alert Alarm,Jan  2 2023  6:28PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
2,2023-01-23T00:52:00,,,0.0,3,Device,,System Alert Alarm,Jan 23 2023 12:52AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
3,2023-01-23T00:52:00,,,0.0,2,Device,,System Alert Alarm,Jan 23 2023 12:52AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
4,2023-01-26T19:23:00,,,0.0,3,Device,,System Alert Alarm,Jan 26 2023  7:23PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
5,2023-01-28T10:53:00,,,0.0,3,Device,,System Alert Alarm,Jan 28 2023 10:53AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
6,2023-01-28T11:03:00,,,0.0,3,Device,,System Alert Alarm,Jan 28 2023 11:03AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
7,2023-04-05T20:12:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/4/5/20/12/VU207150371310_2_1680725538,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Apr  5 2023  8:12PM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
8,2023-04-06T04:22:00,,,0.0,3,Device,,System Alert Alarm,Apr  6 2023  4:22AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
9,2023-04-06T04:22:00,,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Apr  6 2023  4:22AM,True,False,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
