,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
0,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,12/24/2022 3:46:35 PM +05:30,3,,,,,,1.0,AlertAlarm/XR4K1902/2022,Device,False,True,False,,,,,
1,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Dec 24 2022 10:21AM,3,,,,,,,AlertAlarm/XR4K1902/2022,Device,False,False,True,,2022-12-24T10:21:00,,,0.0
0,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Jan 25 2023  9:08AM,2,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,False,True,,2023-01-25T09:08:00,,,0.0
1,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Jan 25 2023  6:59PM,2,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,False,True,,2023-01-25T18:59:00,,,0.0
2,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PRESTART ALERT-LOW LINE VOLTAGE,Nov 22 2023  3:24AM,107,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,False,,2023-11-22T03:24:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/11/22/5/42/328221030618_2_1700623449,0.0
3,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PRESTART ALERT-LOW LINE VOLTAGE,Dec  3 2023  8:29AM,107,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,True,,2023-12-03T08:29:00,,,0.0
4,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-CONDENSER APPROACH,Dec  5 2023 12:32PM,163,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,False,,2023-12-05T12:32:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_2/2023/12/5/21/18/328221030618_2_1701779564,0.0
5,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,12/9/2023 3:04:48 PM +05:30,3,,,,,,1.0,AlertAlarm/XR4K1902/2023,Device,False,True,False,,,,,
6,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Dec  9 2023  9:39AM,3,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,False,True,,2023-12-09T09:39:00,,,0.0
7,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,12/11/2023 10:11:45 AM +05:30,3,,,,,,1.0,AlertAlarm/XR4K1902/2023,Device,False,True,False,,,,,
8,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Dec 11 2023  4:46AM,3,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,False,True,,2023-12-11T04:46:00,,,0.0
9,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,,12/11/2023 10:21:45 AM +05:30,3,,,,,,1.0,AlertAlarm/XR4K1902/2023,Device,False,True,False,,,,,
10,XR4K1902,,,SYS_ALM,SystemAlertAlarm,,,Asia/Calcutta,System Alert Alarm,Dec 12 2023  9:57AM,3,,,,,,,AlertAlarm/XR4K1902/2023,Device,False,False,True,,2023-12-12T09:57:00,,,0.0
11,XR4K1902,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-CONDENSER APPROACH,Dec  9 2023  9:34AM,163,,,,,,,AlertAlarm/XR4K1902/2023,Device,True,False,True,,2023-12-09T09:34:00,,,0.0
