,Unnamed: 0,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
4,4,2023-03-14T20:08:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/3/15/2/41/VU210550150310_1_1678824492,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Mar 14 2023  8:08PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
5,5,2023-03-14T20:08:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/3/15/2/41/VU210550150310_1_1678824492,,0.0,229,Device,,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Mar 14 2023  8:08PM,True,False,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
13,13,2023-04-25T02:05:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/4/25/2/5/VU210550150310_1_1682388345,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Apr 25 2023  2:05AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
17,17,2023-05-01T10:31:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/5/1/13/10/VU210550150310_1_1682937091,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,May  1 2023 10:31AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
19,19,2023-06-20T20:49:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/6/20/21/47/VU210550150310_1_1687294188,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun 20 2023  8:49PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
23,23,2023-06-23T07:10:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/6/23/7/53/VU210550150310_1_1687504258,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT,Jun 23 2023  7:10AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
24,24,2023-06-23T07:10:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/6/23/7/53/VU210550150310_1_1687504258,,0.0,229,Device,,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Jun 23 2023  7:10AM,True,False,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
29,29,2023-07-03T10:02:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/7/3/10/2/VU210550150310_1_1688378530,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Jul  3 2023 10:02AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
30,30,2023-07-03T10:20:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/7/3/10/20/VU210550150310_1_1688379627,,0.0,165,Device,,MACHINE ALERT-HIGH COND WATER FLOW,Jul  3 2023 10:20AM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
36,36,2023-07-15T16:27:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu210550150310_1/2023/7/15/16/27/VU210550150310_1_1689438460,,0.0,143,Device,,AUTORESTART PENDING-LINE PHASE LOSS,Jul 15 2023  4:27PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/2301Q65746/2023,2301Q65746,,America/Los_Angeles
