,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
4,3,4604Q70013,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Mar 14 2023  9:15AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-03-14T09:15:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/3/14/10/59/VU050685661110_7_1678785308,0.0
7,6,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 10 2023  7:13AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-04-10T07:13:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/10/7/14/VU050685661110_7_1681110831,0.0
14,13,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 25 2023  4:31AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-04-25T04:31:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/25/4/31/VU050685661110_7_1682397079,0.0
18,17,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Apr 26 2023  3:47AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-04-26T03:47:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/26/3/48/VU050685661110_7_1682480876,0.0
19,18,4604Q70013,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Apr 26 2023  3:47AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-04-26T03:47:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/4/26/3/48/VU050685661110_7_1682480876,0.0
26,25,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 21 2023  4:55PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-05-21T16:55:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/5/21/16/55/VU050685661110_7_1684688113,0.0
28,27,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 21 2023  4:55PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-05-21T16:55:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/5/21/16/55/VU050685661110_7_1684688113,0.0
32,31,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 18 2023  4:54PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-06-18T16:54:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/6/18/16/54/VU050685661110_7_1687107282,0.0
36,35,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul  6 2023  4:20AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-07-06T04:20:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/7/6/4/20/VU050685661110_7_1688617252,0.0
42,41,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul 16 2023  4:53PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-07-16T16:53:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/7/16/16/53/VU050685661110_7_1689526433,0.0
46,45,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Aug 22 2023  8:52AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-08-22T08:52:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/8/22/8/52/VU050685661110_7_1692694333,0.0
52,51,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Sep 10 2023  6:27PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-09-10T18:27:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/9/12/8/3/VU050685661110_7_1694370474,0.0
56,55,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Oct 22 2023  5:33PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-10-22T17:33:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/10/22/17/33/VU050685661110_7_1697996003,0.0
58,57,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Nov 12 2023  8:51AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-11-12T08:51:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/11/12/8/51/VU050685661110_7_1699779099,0.0
62,61,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Nov 21 2023  8:16PM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-11-21T20:16:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/11/21/20/16/VU050685661110_7_1700597791,0.0
65,64,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-GUIDE VANE CALIBRATION,Dec 11 2023 10:35AM,253,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-12-11T10:35:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/11/10/35/VU050685661110_7_1702290943,0.0
66,65,4604Q70013,,,ALARM_03,CH_ALARM_03,,,Asia/Kuwait,POTENTIAL FREEZE-UP-EVAP PRESS/TEMP TOO LOW,Dec 21 2023  9:05AM,243,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-12-21T09:05:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/21/9/8/VU050685661110_7_1703149556,0.0
67,66,4604Q70013,,,ALARM_04,CH_ALARM_04,,,Asia/Kuwait,PROTECTIVE LIMIT-LOW CHILLED WATER  FLOW,Dec 21 2023  9:05AM,229,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-12-21T09:05:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/21/9/8/VU050685661110_7_1703149556,0.0
71,70,4604Q70013,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,POTENTIAL FREEZE-UP-EVAP PRESS/TEMP TOO LOW,Dec 28 2023  7:10AM,243,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-12-28T07:10:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/28/7/10/VU050685661110_7_1703747432,0.0
72,71,4604Q70013,,,ALARM_03,CH_ALARM_03,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 28 2023  7:17AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-12-28T07:17:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/28/7/17/VU050685661110_7_1703747832,0.0
76,75,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 28 2023  7:41AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-12-28T07:41:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/28/7/42/VU050685661110_7_1703749319,0.0
77,76,4604Q70013,,,ALARM_02,CH_ALARM_02,,,Asia/Kuwait,POTENTIAL FREEZE-UP-EVAP PRESS/TEMP TOO LOW,Dec 28 2023  7:41AM,243,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-12-28T07:41:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/28/7/42/VU050685661110_7_1703749319,0.0
81,80,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,SENSOR ALERT-EVAPORATOR APPROACH,Dec 28 2023  7:51AM,162,,,,,,,AlertAlarm/4604Q70013/2023,Device,True,False,False,,2023-12-28T07:51:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/28/7/51/VU050685661110_7_1703749874,0.0
82,81,4604Q70013,,,ALARM_03,CH_ALARM_03,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Dec 28 2023  7:51AM,237,,,,,,,AlertAlarm/4604Q70013/2023,Device,False,True,False,,2023-12-28T07:51:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2023/12/28/7/51/VU050685661110_7_1703749874,0.0
94,7,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Mar 25 2024  8:42AM,237,,,,,,,AlertAlarm/4604Q70013/2024,Device,False,True,False,,2024-03-25T08:42:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2024/3/25/8/43/VU050685661110_7_1711356176,0.0
102,15,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,May 06 2024 02:00:47AM,237,,,,,,,AlertAlarm/4604Q70013/2024,Device,False,True,False,,2024-05-06T02:00:47,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2024/5/6/2/0/VU050685661110_7_1714960847,0.0
106,19,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-STARTER MODULE RESET,Jun 25 2024 05:35:50PM,213,,,,,,,AlertAlarm/4604Q70013/2024,Device,False,True,False,,2024-06-25T17:35:50,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2024/6/25/17/36/VU050685661110_7_1719336950,0.0
110,23,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jun 30 2024 05:53:53AM,237,,,,,,,AlertAlarm/4604Q70013/2024,Device,False,True,False,,2024-06-30T05:53:53,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2024/6/30/5/54/VU050685661110_7_1719726833,0.0
114,27,4604Q70013,,,ALARM_01,CH_ALARM_01,,,Asia/Kuwait,PROTECTIVE LIMIT-SPARE SAFETY DEVICE,Jul 27 2024 03:12:12AM,237,,,,,,,AlertAlarm/4604Q70013/2024,Device,False,True,False,,2024-07-27T03:12:12,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu050685661110_7/2024/7/27/3/12/VU050685661110_7_1722049932,0.0
