,Unnamed: 0,serialnumber,metrictype,metricid,metrickey,metricshortname,metricName,metricNameChinese,timezone,description,eventdatetime,adjustedvalue,targetvalue,minwarningthresholdvalue,maxwarningthresholdvalue,minalarmthresholdvalue,maxalarmthresholdvalue,lastvalue,path,alertalarmtype,isalert,isalarm,isreset,algorithm,AlertAlarmDateTime,TimeZoneAbreviation,SnapshotUrl,UtcOffsetMinutes
28,22,XR4K1903,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,PROTECTIVE LIMIT-LOW OIL PRESSURE,Oct 27 2023  2:25AM,228,,,,,,,AlertAlarm/XR4K1903/2023,Device,False,True,False,,2023-10-27T02:25:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2023/10/27/2/40/328221030618_3_1698373549,0.0
30,24,XR4K1903,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-HIGH BEARING TEMPERATURE,Oct 27 2023  2:31AM,150,,,,,,,AlertAlarm/XR4K1903/2023,Device,True,False,False,,2023-10-27T02:31:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2023/10/27/2/46/328221030618_3_1698373895,0.0
31,25,XR4K1903,,,ALARM_02,CH_ALARM_02,,,Asia/Calcutta,SENSOR ALERT-HIGH DISCHARGE TEMP,Oct 27 2023  2:31AM,149,,,,,,,AlertAlarm/XR4K1903/2023,Device,True,False,False,,2023-10-27T02:31:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2023/10/27/2/46/328221030618_3_1698373895,0.0
32,26,XR4K1903,,,ALARM_03,CH_ALARM_03,,,Asia/Calcutta,PROTECTIVE LIMIT-STARTER FAULT ,Oct 27 2023  9:22AM,206,,,,,,,AlertAlarm/XR4K1903/2023,Device,False,True,False,,2023-10-27T09:22:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2023/10/27/9/36/328221030618_3_1698398542,0.0
36,3,XR4K1903,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-EVAPORATOR APPROACH,Feb  2 2024  6:12AM,162,,,,,,,AlertAlarm/XR4K1903/2024,Device,True,False,False,,2024-02-02T06:12:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2024/2/2/6/12/328221030618_3_1706854355,0.0
39,6,XR4K1903,,,ALARM_02,CH_ALARM_02,,,Asia/Calcutta,SENSOR ALERT-HIGH BEARING TEMPERATURE,Feb  2 2024  6:18AM,150,,,,,,,AlertAlarm/XR4K1903/2024,Device,True,False,False,,2024-02-02T06:18:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2024/2/2/6/18/328221030618_3_1706854699,0.0
42,9,XR4K1903,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-EVAPORATOR APPROACH,Feb  2 2024  7:06AM,162,,,,,,,AlertAlarm/XR4K1903/2024,Device,True,False,False,,2024-02-02T07:06:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2024/2/2/7/6/328221030618_3_1706857576,0.0
43,10,XR4K1903,,,ALARM_02,CH_ALARM_02,,,Asia/Calcutta,SENSOR ALERT-HIGH BEARING TEMPERATURE,Feb  2 2024  7:06AM,150,,,,,,,AlertAlarm/XR4K1903/2024,Device,True,False,False,,2024-02-02T07:06:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2024/2/2/7/6/328221030618_3_1706857576,0.0
44,11,XR4K1903,,,ALARM_03,CH_ALARM_03,,,Asia/Calcutta,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Feb  2 2024  7:06AM,123,,,,,,,AlertAlarm/XR4K1903/2024,Device,True,False,False,,2024-02-02T07:06:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2024/2/2/7/6/328221030618_3_1706857576,0.0
52,19,XR4K1903,,,ALARM_01,CH_ALARM_01,,,Asia/Calcutta,SENSOR ALERT-HIGH DISCHARGE TEMP,Feb  4 2024  9:23AM,149,,,,,,,AlertAlarm/XR4K1903/2024,Device,True,False,False,,2024-02-04T09:23:00,,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/328221030618_3/2024/2/4/9/23/328221030618_3_1707038584,0.0
