,CDT,Control Point,DP,ECDW,ECW,GV,LCDW,LCW,MTRB,OilPD,PLC,Power,SP,VFD,SST,SDT,Year,COOLDT,h_cdo,h_suc,s_suc,h_dis_i,h_dis,eta_comp,COP,psm_cop,eta,COP_Current,COP_New,Energy Saving%,Energy Saving,fn,root,ALC,Hrs,InverT,OilT
count,13931.0,126.0,13931.0,13931.0,11939.0,12654.0,12930.0,13931.0,12430.0,12354.0,13931.0,9942.0,13931.0,123.0,13931.0,13931.0,13931.0,11939.0,13931.0,13931.0,13931.0,13931.0,13931.0,13931.0,13931.0,13931.0,13931.0,13931.0,13931.0,13931.0,9942.0,1913Q22565.csv,North_America_chiller_retrofit,,,,
mean,47.23840116528648,4.448853615520282,813130.4090247732,22.64974596881873,9.544857657361437,27.604140985711066,30.94886139078608,4.515780156092606,150.94291231113965,239.68154356426356,74.43246715256218,315.97369744518204,338667.9407140098,0.16504065049130742,4.081607518584047,31.742180596808808,2022.5433924341396,5.019999813797643,244280.9321811657,400965.87777899584,1724.923044986519,419006.08734299266,431759.2409443821,0.5889045694011698,5.099424002335146,8.12592295641088,0.6423362832030116,5.099424002335146,8.12592295641088,35.76637167969883,10739.602004703169,1913Q22565.csv,North_America_chiller_retrofit,,,,
std,2.1004370883421535,0.04949282257637487,90550.47258632972,4.220913752412024,1.2061436070403921,14.245973790581886,3.7236037067618715,0.48490801777458337,1.203536591380288,2.064282123959293,12.72106178751015,59.15410912254596,6122.542711233143,0.04787918514680203,0.4830017690962264,3.832763790289968,0.49813141676442735,1.030101011356177,5593.00292849208,274.22804768811426,0.23282829711612024,2244.510135462952,1772.1365443171223,0.08751111991903367,0.2743192170728262,1.2769711584198096,0.09771700338045063,0.2743192170728262,1.2769711584198096,9.771700338045061,1378.1760161997918,1913Q22565.csv,North_America_chiller_retrofit,,,,
min,41.0,4.444444444444445,666695.073999997,15.055555555555555,5.0,5.5,24.555555555555557,2.8888888888888906,147.6,227.526981,42.4,173.2,320578.2726000479,0.1,2.5276863901542015,25.06624839587579,2022.0,0.9444444444444464,234640.2016908249,400071.2824330792,1720.2084526261356,414998.1434405701,427260.7800889456,0.3494776890117994,4.11943564524449,5.67779777503539,0.4093118082348218,4.11943564524449,5.67779777503539,17.715606614920574,7371.57088444281,1913Q22565.csv,North_America_chiller_retrofit,,,,
25%,46.388888888888886,4.444444444444445,729437.3627000002,19.0,8.61111111111111,15.5,27.55555555555555,4.388888888888888,150.1,237.86911650000002,63.3,260.7,336436.2137000306,0.1,3.896224583040805,28.12049923401048,2022.0,4.166666666666667,239012.59437138552,400859.7237321644,1724.868444629738,416846.6571357893,430921.7220283341,0.5083802883003185,4.956149328002201,6.902181989560344,0.5621787167500856,4.956149328002201,6.902181989560344,27.2767421566163,9556.40495290863,1913Q22565.csv,North_America_chiller_retrofit,,,,
50%,47.44444444444445,4.444444444444445,789421.748600041,23.055555555555554,9.666666666666666,25.3,30.05555555555555,4.444444444444445,150.7,239.24806790000002,75.5,322.6,338504.64080006414,0.2,4.071060106702134,30.860632541968528,2023.0,5.2222222222222205,242968.26200103186,400960.12207835296,1724.9271373583908,418531.3396919075,431389.52587541746,0.5916314948801595,5.059291442252964,8.172150844769057,0.6513706557554692,5.059291442252964,8.172150844769057,34.86293442445309,11020.440849939596,1913Q22565.csv,North_America_chiller_retrofit,,,,
75%,48.44444444444444,4.444444444444445,879053.589600007,25.999999999999996,10.333333333333334,34.6,33.77777777777778,4.500000000000001,151.8,241.316495,83.6,360.2,339883.59220003797,0.2,4.187162761926288,34.67679910501096,2023.0,5.833333333333333,248532.3429761963,401026.75181748084,1725.0158083873275,420770.7691430009,432421.3540839139,0.656818611434276,5.173914892524067,9.386,0.7272325784338369,5.173914892524067,9.386,43.78212832499143,11860.803431209351,1913Q22565.csv,North_America_chiller_retrofit,,,,
max,61.277777777777786,5.0,1129333.2686999966,34.55555555555556,20.555555555555554,71.7,42.94444444444444,15.88888888888889,166.6,246.8323006,104.5,458.1,479891.0333245201,0.20000000298023224,14.455555555555557,43.97346217049011,2023.0,8.222222222222221,262384.80240577756,406776.77472303365,1725.7220469972399,425295.0895093193,441252.1466616115,0.7760658445243515,6.119121531857857,10.492425570789685,0.8228439338507942,6.119121531857857,10.492425570789685,59.06881917651783,15612.654666797202,1913Q22565.csv,North_America_chiller_retrofit,,,,
count,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,23307.0,2301Q65746.csv,North_America_chiller_retrofit,23307.0,23307.0,3923.0,
mean,40.49478185218165,6.311400704353322,646656.9309296377,20.508738467873176,8.96211192333991,7.306008788959018,23.620033531672526,6.310256220702993,131.70756711193445,183.5612223581885,44.605040961416265,85.5739063346903,359741.1695507526,90.15178579467192,5.817331636762621,23.968980754517744,2022.922169305359,2.651855702636917,233091.51669919092,401958.4296401672,1724.061320868901,414021.942190673,428298.2813357505,0.4643198691169417,6.531630452633777,8.776492109967716,0.7451759477104376,6.531630452633777,8.776492109967716,25.482405228956228,2266.0955687978726,2301Q65746.csv,North_America_chiller_retrofit,107.79846751490948,98496.42034146126,22.632654463251853,
