Month,Power/kWh,Runtime/Hrs,Avg. PLR,Chiller running COP,COP after VFD retrofit,VFD retrofit saving/kWh,VFD retrofit saving %,Avg. percent line current,chiller efficiency_after,chiller efficiency_before
2022/11,8656,99,,4.6,10.0,4630,53.5%,37%,0.3517,0.7645652173913043
2023/2,249,3,,4.3,9.6,137,55.2%,36%,0.36635416666666665,0.8179069767441861
2023/3,297,4,,4.3,9.8,168,56.3%,37%,0.35887755102040814,0.8179069767441861
2023/4,23057,189,,4.7,8.3,9893,42.9%,46%,0.4237349397590361,0.7482978723404254
2023/5,46196,371,,4.8,8.3,19182,41.5%,47%,0.4237349397590361,0.7327083333333333
2023/6,63914,484,,5.0,8.3,25654,40.1%,49%,0.4237349397590361,0.7034
2023/7,91170,583,,5.2,7.9,30756,33.7%,55%,0.4451898734177215,0.6763461538461538
2023/8,84932,584,,5.2,8.4,32172,37.9%,52%,0.41869047619047617,0.6763461538461538
2023/9,24647,184,,5.3,9.4,10694,43.4%,49%,0.3741489361702127,0.6635849056603773
2023/10,35201,294,,5.0,9.5,16551,47.0%,45%,0.3702105263157895,0.7034
2023/11,11049,105,,4.6,9.8,5825,52.7%,42%,0.35887755102040814,0.7645652173913043
2023/12,33,0,,6.1,11.9,16,48.5%,48%,0.29554621848739493,0.5765573770491803
