serial_number,model_type,Age,20_40,40_60,60_80,80_100,total_days,Latitude,Longitude,City
0107Q73327,19XR,2007,0.048721072,25.23751523,63.05724726,12.02192448,214,41.8600188,-87.8332907,Maywood
0107Q73328,19XR,2007,0,15.58067376,75.6427305,8.97606383,214,41.8600188,-87.8332907,Maywood
0108Q74912,19XR,2008,0,0,0,0,98,25.335278,55.3757315,Sharjah
0108Q74913,19XR,2008,0,0,0,0,0,25.335278,55.3757315,Sharjah
0208Q75323,19XR,2008,0,0.345065562,29.95169082,69.70324362,214,40.5665714,-75.523779,Allentown
0298J57403,19XR,1998,0,0,0,0,0,38.0774631,-97.8925009,Hutchinson
0408Q75300,19XR,2008,0,58.42572062,41.57427938,0,251,23.6092599,58.4575594,Muscat
0408Q75301,19XR,2008,0,4.111071042,88.56833754,7.284529391,251,23.6092599,58.4575594,Muscat
0408Q75302,19XR,2008,0,54.74436973,45.14889529,0.106734977,251,23.6092599,58.4575594,Muscat
0421Q28446,19XR,2021,0.008804367,24.07994365,55.11533721,20.78711041,192,29.2853375,47.7398092,AMGHARA
0421Q28447,19XR,2021,0,0,31.75572519,68.24427481,191,29.31166,47.481766,AMGHARA
0501Q65103,19XR,2001,28.91618749,33.53807283,25.4966022,9.522564907,214,41.7745877,-72.6984919,Hartford
0505Q70090,19XR,2005,0.641043986,24.19368686,61.9093953,13.23297942,253,13.770544,100.658369,Bangkok
0505Q70091,19XR,2005,0.105652404,3.116745906,87.79714739,8.980454305,253,13.770544,100.658369,Bangkok
0518Q26464,19XR,2018,0.343938091,30.61049011,63.0266552,5.588993981,142,25.2862157,51.4204044,AL RAYYAN
0598J57639,19XR,1998,0,0,0,0,3,42.6479852,-73.7737215,Albany
0598J57640,19XR,1998,0,0,0,0,3,42.6479852,-73.7737215,Albany
0599J59145,19XR,1999,0,0,0,0,116,39.9072692,116.3647473,???
0599J59146,19XR,1999,0,0,0,0,45,39.9072692,116.3647473,???
0611Q20426,19XR,2011,0,68.31683168,32.67326733,0,214,30.0245345,-90.2706607,Kenner
0611Q20427,19XR,2011,0,80.48,19.04,0.8,214,30.0245345,-90.2706607,Kenner
0618Q26465,19XR,2018,25.15090543,54.12474849,9.456740443,1.609657948,142,25.2862157,51.4204044,AL RAYYAN
0697J55465,19XR,1997,7.658306909,67.04141443,21.57201883,4.352839435,214,34.188636,-92.0176764,Pine Bluff
0701Q65013,19XR,2001,0.056641178,2.945341263,26.45143019,24.15746248,214,41.5564964,-87.338438,Gary
0701Q65155,19XR,2001,0,0,0,0,15,21.6033435,39.1092294,Jeddah
0701Q65156,19XR,2001,0,0,0,0,15,21.6033435,39.1092294,Jeddah
0701Q65157,19XR,2001,0.165016502,99.8349835,0,0,15,21.6033435,39.1092294,Jeddah
0718Q26461,19XR,2018,0.20242915,13.46153846,72.26720648,13.36032389,94,25.2862157,51.4204044,AL RAYYAN
0718Q26462,19XR,2018,0.220750552,21.55997057,66.3723326,11.55261221,142,25.2862157,51.4204044,AL RAYYAN
0718Q26463,19XR,2018,1.236749117,25.44169611,53.09187279,19.5229682,142,25.2862157,51.4204044,AL RAYYAN
0718Q26606,19XR,2018,0,70.20246129,29.49583168,0.293767368,185,31.9726427,-83.8003259,Cordele 
0813Q22538,19XR,2013,15.52062868,75.04911591,9.168303864,0,214,37.7914858,-122.4095171,San Francisco
0818Q26458,19XR,2018,25.56390977,48.12030075,13.53383459,2.756892231,147,25.2862157,51.4204044,AL RAYYAN
0818Q26459,19XR,2018,18.18181818,57.7540107,18.98395722,4.010695187,147,25.2862157,51.4204044,AL RAYYAN
0818Q26460,19XR,2018,30.96774194,44.83870968,9.35483871,1.935483871,142,25.2862157,51.4204044,AL RAYYAN
0899J59369,19XR,1999,0,0,0,0,0,22.539644,114.077728,???
0901Q64991,19XR,2001,0.470588235,74.58823529,24.23529412,2.823529412,214,38.0407424,-84.491503,Lexington
0901Q64992,19XR,2001,2.255639098,90.97744361,6.766917293,0,214,38.0407424,-84.491503,Lexington
